sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TP,TN,COD,totalMP,SO2,DO,velocity,redundancy
1,MP,1.feb,mp1,DB2,-0.55384456,-1.213703966,-0.433357211,-0.659578241,0.050877638,-0.585054091,-0.869863559,-1.126626421,-0.72020708,-0.503768394,1.077256458,-0.635539329,-0.75501909
2,MP,1.feb,mp1,IN2,-0.580656464,-0.778074039,-0.120350043,-0.647668914,-0.270454811,-0.038936184,-0.796962692,1.155889445,0.680041969,-0.514697205,-0.014363419,-0.686604654,0.642633845
3,MP,1.feb,mp1,KN5,-0.569931702,-0.342444112,-0.251376299,0.483717175,-0.59178726,3.541170094,1.879540567,1.243678516,4.941669506,0.146241676,0.272904969,0.0283099,1.227909773
4,MP,1.feb,mp1,PR7,-0.569931702,-0.969751207,-0.404240265,-0.338026405,0.050877638,-0.433354672,-0.817791511,0.804733158,0.147338526,0.012808524,1.766700592,-0.404401541,1.349345767
5,MP,1.feb,mp1,TC2,-0.569931702,-1.039451995,-0.520708049,-0.647668914,1.496873658,-0.524374323,-0.989629269,-0.951048277,-0.377754867,-0.500591414,1.881607948,0.162692335,0.890237105
6,MP,1.feb,mp1,TN2,-0.575294083,-0.690948053,-0.185863171,-0.635759586,0.372210087,2.206215211,0.47880248,0.190209655,-0.507125703,-0.433239442,0.215451292,-0.686604654,1.816164651
7,MP,1.feb,mp1,TN6,-0.575294083,-1.074302389,-0.367844083,2.210569626,0.85420876,-0.220975486,0.416316023,0.629155014,-0.309264424,-0.111729085,-1.335798009,0.329326554,-0.677215942
8,MP,1.feb,mp1,TR12B,-0.580656464,-0.847774827,-0.520708049,-0.647668914,-0.59178726,-0.554714207,-0.375179105,0.190209655,0.10928828,-0.5122827,1.30707117,0.818478617,1.561727331
9,MP,1.feb,mp1,TR12D,-0.580656464,-1.074302389,-0.506149576,-0.659578241,-0.431121036,-0.615393975,-0.484530405,-0.59989199,1.364946394,0.171657514,0.445266003,-0.57103576,-0.760976988
10,MP,1.feb,mp1,TR12I,-0.580656464,-1.056877192,-0.338727137,0.960090265,-0.913119709,-0.129955835,-0.406422333,2.384936449,2.810855737,-0.515205521,-0.818714908,-0.630164032,1.148704768
11,MP,1.feb,mp1,TR17L,-0.575294083,-0.638672462,-0.389681792,0.602810448,0.211543862,2.479274164,-0.807377102,2.999459951,1.654128263,-0.290910747,-0.53144652,-0.640914626,0.830307653
12,MP,1.feb,mp1,TR19I,-0.575294083,-0.603822068,-0.389681792,2.222478953,0.532876311,-0.585054091,-0.036710794,-0.424313847,0.710482165,-0.112364481,-0.071817097,-0.608662842,1.430303096
13,MP,1.feb,mp1,TSR1,-0.55384456,-0.725798448,-0.127629279,-0.600031605,0.372210087,2.630973582,0.983901344,0.804733158,-0.157063441,-0.119989233,-2.255056853,-0.710793493,0.419738342
14,MP,1.feb,mp1,YL2,-0.55384456,-0.673522856,-0.20770088,-0.611940932,-0.109788587,1.478058001,0.952658115,1.155889445,-0.537565899,-0.370335242,0.100543936,1.261940652,1.452732832
15,MP,1.feb,mp1,YL4,-0.55384456,-0.847774827,0.694924441,-0.600031605,-0.59178726,1.417378234,0.520460118,0.804733158,0.345199805,-0.370970638,-1.737973753,-0.50921984,-0.193574756
16,MP,2.may,mp2,DB2,0.641966351,0.598516531,-0.346006373,-0.647668914,-0.431121036,-0.645733858,-0.812584307,-1.038837349,-0.735427178,-0.511901462,-0.014363419,-0.114135481,-0.152570395
17,MP,2.may,mp2,IN2,-0.055143149,0.772768501,-0.10579157,-0.647668914,-0.270454811,-0.281655254,-0.718854621,0.102420584,0.223439018,-0.497414434,-0.588900197,-0.565660463,-0.788838926
18,MP,2.may,mp2,KN5,1.526759177,0.650792122,-0.346006373,0.257439957,-0.59178726,1.265678815,1.827468519,2.560514592,-0.689766883,4.047572887,0.215451292,0.235258849,-0.660744105
19,MP,2.may,mp2,PR7,1.526759177,0.703067713,-0.418798738,-0.052202551,0.050877638,-0.554714207,-0.750097849,0.804733158,0.360419903,3.964971411,0.78998807,-0.59253695,-0.354963717
20,MP,2.may,mp2,TC2,-0.548482179,0.476540151,-0.47703263,-0.647668914,-0.431121036,-0.554714207,-0.869863559,-0.687681062,-0.598446293,-0.499956018,0.387812325,0.307825364,1.106298548
21,MP,2.may,mp2,TN2,-0.548482179,-0.220467732,4.145282526,-0.647668914,3.585534575,-0.069276068,0.614189804,0.629155014,1.014884132,-0.426250087,0.732534392,0.025622251,1.719261181
22,MP,2.may,mp2,TN6,-0.548482179,-0.203042535,-0.258655536,1.519828646,0.050877638,0.082423351,0.484009685,-0.687681062,-0.141843342,0.120825837,-0.876168586,-0.605975193,-0.774820341
23,MP,2.may,mp2,TR12B,-0.055143149,0.093185815,-0.404240265,-0.647668914,-0.270454811,-0.524374323,-0.354350286,-0.424313847,-0.72020708,-0.50440379,0.732534392,2.097799398,0.770553434
24,MP,2.may,mp2,TR12D,-0.055143149,-0.081066156,-0.484311866,-0.659578241,0.050877638,-0.585054091,-0.458494381,-0.59989199,-0.202723736,-0.514760744,0.962349103,-0.334522675,0.48019349
25,MP,2.may,mp2,TR12I,-0.055143149,-0.011365367,-0.426077974,0.888634302,-0.59178726,-0.403014789,-0.416836743,1.94599109,-0.461465408,0.152595635,-1.508159042,-0.259268511,-0.638840066
26,MP,2.may,mp2,TR17L,-0.55384456,0.42426456,-0.244097063,0.72190372,-0.109788587,-0.403014789,-0.401215129,-0.512102918,0.710482165,0.394046101,-0.588900197,-0.630164032,-0.327101779
27,MP,2.may,mp2,TR19I,-0.55384456,0.633366925,-0.382402556,2.198660299,0.532876311,-0.585054091,0.129919759,-0.424313847,1.486707181,-0.514887823,0.215451292,-0.388275649,-1.235506094
28,MP,2.may,mp2,TSR1,0.641966351,-0.272743324,3.366404224,-0.647668914,0.693542535,-0.0085963,0.895378863,-0.248735703,-0.202723736,-0.280109015,0.445266003,-0.614038139,-0.649178772
29,MP,2.may,mp2,YL2,0.641966351,0.00605983,-0.382402556,-0.635759586,-0.270454811,0.203782886,0.95786532,0.629155014,-0.354924719,-0.114270669,0.157997614,1.202812381,-0.0886106
30,MP,2.may,mp2,YL4,0.641966351,0.00605983,0.11986476,-0.528575641,-0.59178726,0.112763234,0.562117757,-0.248735703,-0.080962949,-0.370335242,-2.772139953,-0.294207944,-0.796023451
31,MP,3.Aug,mp3,DB2,-0.494858372,0.772768501,0.127143997,-0.659578241,-0.109788587,-0.615393975,-0.698025801,-1.038837349,-0.689766883,-0.518763739,0.502719681,-0.635539329,-1.295260313
32,MP,3.Aug,mp3,IN2,1.912850592,0.790193699,4.480127404,-0.647668914,-0.59178726,-0.645733858,-0.583467296,-0.248735703,-0.62888649,-0.47454018,0.043090258,-0.59253695,-0.595557684
33,MP,3.Aug,mp3,KN5,-0.441234564,1.208398429,-0.295051718,0.37653323,-0.59178726,1.083639513,1.098459849,1.068100373,2.202051803,3.335929408,0.100543936,0.100876415,-1.393740874
34,MP,3.Aug,mp3,PR7,-0.441234564,0.737918107,1.488361216,-0.647668914,0.211543862,-0.615393975,-0.505359224,-1.126626421,0.11689833,2.738657203,0.330358647,-0.608662842,-0.743453757
35,MP,3.Aug,mp3,TC2,-0.178477906,0.737918107,-0.447915684,-0.647668914,-0.431121036,-0.615393975,-0.661575368,-0.687681062,-0.689766883,-0.515840917,0.330358647,0.135815848,-1.447887659
36,MP,3.Aug,mp3,TN2,-0.178477906,0.877319684,0.709482914,-0.647668914,2.942869678,-0.220975486,-0.234584576,-0.07315756,-0.278824227,-0.489789683,0.043090258,0.259447688,-1.211148803
37,MP,3.Aug,mp3,TN6,-0.178477906,0.598516531,-0.273214009,0.709994393,-0.431121036,-0.676073742,-0.401215129,0.014631512,-0.659326686,0.279674828,-0.761261231,-0.619413437,-1.365878936
38,MP,3.Aug,mp3,TR12B,1.912850592,0.894744881,-0.440636447,-0.659578241,-0.431121036,-0.676073742,-0.60950332,-0.951048277,-0.704986981,-0.481529535,0.675080714,1.939228125,-0.691935457
39,MP,3.Aug,mp3,TR12D,1.912850592,0.546240939,-0.469753393,-0.659578241,-0.431121036,-0.615393975,0.312171927,-1.038837349,0.893123345,-0.521241783,0.732534392,-0.243142619,-1.526216503
40,MP,3.Aug,mp3,TR12I,1.912850592,0.807618896,-0.462474157,1.269732773,-0.431121036,-0.615393975,-0.229377371,-0.775470134,-0.065742851,0.222489191,-0.876168586,-0.151762563,-1.144735756
41,MP,3.Aug,mp3,TR17L,-0.580656464,1.068996852,-0.440636447,2.162932317,0.050877638,-0.49403444,-0.323107057,0.365787799,-0.294044326,0.286028788,-0.876168586,-0.619413437,-0.866817306
42,MP,3.Aug,mp3,TR19I,-0.580656464,1.086422049,-0.367844083,3.10376917,0.372210087,-0.463694556,-0.385593514,0.365787799,0.20821892,0.40675402,-0.473992842,-0.57103576,-0.609751502
43,MP,3.Aug,mp3,TSR1,-0.494858372,0.947020472,-0.018440732,-0.635759586,-0.109788587,-0.129955835,1.759774857,-0.424313847,-0.704986981,-0.398292664,0.157997614,-0.619413437,-0.670031418
44,MP,3.Aug,mp3,YL2,3.575188629,0.825044093,-0.433357211,-0.611940932,-0.752453484,0.476841839,1.218225559,0.014631512,-0.826747768,-0.271848868,-1.737973753,0.931359862,-0.629377521
45,MP,3.Aug,mp3,YL4,3.575188629,0.877319684,0.956976954,-0.600031605,-0.752453484,-0.129955835,-0.036710794,-0.512102918,0.512620887,-0.492331267,-2.025242142,1.640899119,0.304785944
46,MP,4.nov,mp4,DB2,-0.580656464,0.563666136,-0.396961029,-0.659578241,-0.109788587,-0.676073742,-1.078151751,-1.038837349,-0.507125703,-0.514315967,1.536885881,-0.17863905,-0.918160374
47,MP,4.nov,mp4,IN2,-0.580656464,0.459114954,-0.164025462,-0.647668914,-0.59178726,2.752333117,3.259449835,-0.775470134,-0.552785998,-0.22737115,0.445266003,-0.576411058,-0.650405398
48,MP,4.nov,mp4,KN5,-0.580656464,0.528815742,-0.338727137,0.269349285,-0.752453484,-0.585054091,-0.963593245,-0.951048277,0.223439018,-0.299170894,0.157997614,0.036372846,-0.499880841
49,MP,4.nov,mp4,PR7,-0.580656464,0.110611012,-0.411519502,-0.326117078,-0.431121036,-0.645733858,-1.21874628,-1.126626421,-0.81152767,-0.511329606,1.077256458,-0.710793493,-0.86033371
50,MP,4.nov,mp4,TC2,-0.580656464,-0.098491353,-0.462474157,-0.659578241,-0.59178726,-0.585054091,-0.718854621,-0.951048277,-0.796307571,-0.480894139,0.732534392,0.076687576,0.140242802
51,MP,4.nov,mp4,TN2,-0.580656464,0.058335421,0.127143997,-0.647668914,4.710198146,-0.25131537,-0.276242214,0.541365942,-0.461465408,-0.485341911,0.100543936,1.915039286,-0.33621386
52,MP,4.nov,mp4,TN6,-0.580656464,-0.046215761,-0.404240265,1.603193936,-0.752453484,-0.585054091,-0.12002607,-0.248735703,-0.796307571,0.489355496,-0.876168586,-0.565660463,0.183525183
53,MP,4.nov,mp4,TR12B,-0.580656464,0.232587392,-0.134908516,-0.659578241,-0.59178726,-0.645733858,-1.08856616,-1.126626421,-0.872408063,-0.509931735,0.904895425,5.282663106,1.090177175
54,MP,4.nov,mp4,TR12D,-0.580656464,-0.098491353,-0.45519492,-0.659578241,-0.913119709,-0.645733858,-1.177088642,-1.038837349,-0.339704621,-0.517111709,0.962349103,-0.450091569,1.207057128
55,MP,4.nov,mp4,TR12I,0.545443497,-0.081066156,0.229053307,-0.409482369,-0.431121036,-0.49403444,-0.755305054,0.980311301,-0.157063441,-0.357627323,0.387812325,-0.471592758,0.907409871
56,MP,4.nov,mp4,TR17L,0.545443497,0.737918107,-0.324168664,1.103002192,0.372210087,-0.615393975,-0.411629538,-0.863259205,0.497400788,0.029964215,0.387812325,-0.630164032,-1.035390792
57,MP,4.nov,mp4,TR19I,0.545443497,0.772768501,-0.440636447,1.960473754,0.693542535,-0.585054091,-0.432458357,-0.248735703,-0.583226194,0.273320868,0.445266003,-0.624788734,-0.090538156
58,MP,4.nov,mp4,TSR1,-0.580656464,0.598516531,-0.185863171,-0.611940932,0.050877638,-0.25131537,0.327793541,-0.59989199,-0.080962949,-0.36271049,0.904895425,0.117002307,-1.124759272
59,MP,4.nov,mp4,YL2,-0.580656464,0.354563771,-0.375123319,-0.623850259,-0.270454811,1.508397885,3.467738027,1.858202019,-0.918068358,-0.243256049,0.330358647,0.888357483,-0.214076937
60,MP,4.nov,mp4,YL4,-0.580656464,0.30228818,0.338241854,-0.492847659,-0.752453484,0.143103118,1.129703078,-0.424313847,-0.933288457,0.190719393,-2.255056853,-0.442028623,0.746371375
61,NP,1.feb,np1,DB2,-0.55384456,-1.213703966,-0.433357211,-0.659578241,0.050877638,-0.585054091,-0.869863559,-1.126626421,-0.72020708,-0.503768394,1.077256458,-0.635539329,-0.930601868
62,NP,1.feb,np1,IN2,-0.580656464,-0.778074039,-0.120350043,-0.647668914,-0.270454811,-0.038936184,-0.796962692,1.155889445,0.680041969,-0.514697205,-0.014363419,-0.686604654,-0.624821481
63,NP,1.feb,np1,KN5,-0.569931702,-0.342444112,-0.251376299,0.483717175,-0.59178726,3.541170094,1.879540567,1.243678516,4.941669506,0.146241676,0.272904969,0.0283099,1.373703059
64,NP,1.feb,np1,PR7,-0.569931702,-0.969751207,-0.404240265,-0.338026405,0.050877638,-0.433354672,-0.817791511,0.804733158,0.147338526,0.012808524,1.766700592,-0.404401541,-0.560160757
65,NP,1.feb,np1,TC2,-0.569931702,-1.039451995,-0.520708049,-0.647668914,1.496873658,-0.524374323,-0.989629269,-0.951048277,-0.461465408,-0.500591414,1.881607948,0.162692335,3.834139977
66,NP,1.feb,np1,TN2,-0.575294083,-0.690948053,-0.185863171,-0.635759586,0.372210087,2.206215211,0.47880248,0.190209655,-0.507125703,-0.433239442,0.215451292,-0.686604654,0.984687322
67,NP,1.feb,np1,TN6,-0.575294083,-1.074302389,-0.367844083,2.210569626,0.85420876,-0.220975486,0.416316023,0.629155014,-0.309264424,-0.111729085,-1.335798009,0.329326554,1.007642755
68,NP,1.feb,np1,TR12B,-0.580656464,-0.847774827,-0.520708049,-0.647668914,-0.59178726,-0.554714207,-0.375179105,0.190209655,-0.217943834,-0.5122827,1.30707117,0.818478617,-0.425407107
69,NP,1.feb,np1,TR12D,-0.580656464,-1.074302389,-0.506149576,-0.659578241,-0.431121036,-0.615393975,-0.484530405,-0.59989199,1.106204722,0.171657514,0.445266003,-0.57103576,-0.881011123
70,NP,1.feb,np1,TR12I,-0.580656464,-1.056877192,-0.338727137,0.960090265,-0.913119709,-0.129955835,-0.406422333,2.384936449,2.810855737,-0.515205521,-0.818714908,-0.630164032,0.612844352
71,NP,1.feb,np1,TR17L,-0.575294083,-0.638672462,-0.389681792,0.602810448,0.211543862,2.479274164,-0.807377102,2.999459951,1.654128263,-0.290910747,-0.53144652,-0.640914626,0.153209993
72,NP,1.feb,np1,TR19I,-0.575294083,-0.603822068,-0.389681792,2.222478953,0.532876311,-0.585054091,-0.036710794,-0.424313847,0.710482165,-0.112364481,-0.071817097,-0.608662842,1.989644642
73,NP,1.feb,np1,TSR1,-0.55384456,-0.725798448,-0.127629279,-0.600031605,0.372210087,2.630973582,0.983901344,0.804733158,-0.157063441,-0.119989233,-2.255056853,-0.710793493,2.329069634
74,NP,1.feb,np1,YL2,-0.55384456,-0.673522856,-0.20770088,-0.611940932,-0.109788587,1.478058001,0.952658115,1.155889445,-0.552785998,-0.370335242,0.100543936,1.261940652,0.014776465
75,NP,1.feb,np1,YL4,-0.55384456,-0.847774827,0.694924441,-0.600031605,-0.59178726,1.417378234,0.520460118,0.804733158,0.345199805,-0.370970638,-1.737973753,-0.50921984,-0.66494968
76,NP,2.may,np2,DB2,0.641966351,0.598516531,-0.346006373,-0.647668914,-0.431121036,-0.645733858,-0.812584307,-1.038837349,-0.735427178,-0.511901462,-0.014363419,-0.114135481,-0.539833808
77,NP,2.may,np2,IN2,-0.055143149,0.772768501,-0.10579157,-0.647668914,-0.270454811,-0.281655254,-0.718854621,0.102420584,0.223439018,-0.497414434,-0.588900197,-0.565660463,0.791756544
78,NP,2.may,np2,KN5,1.526759177,0.650792122,-0.346006373,0.257439957,-0.59178726,1.265678815,1.827468519,2.560514592,-0.689766883,4.047572887,0.215451292,0.235258849,0.072252664
79,NP,2.may,np2,PR7,1.526759177,0.703067713,-0.418798738,-0.052202551,0.050877638,-0.554714207,-0.750097849,0.804733158,0.360419903,3.964971411,0.78998807,-0.59253695,1.330771142
80,NP,2.may,np2,TC2,-0.548482179,0.476540151,-0.47703263,-0.647668914,-0.431121036,-0.554714207,-0.869863559,-0.687681062,-0.598446293,-0.499956018,0.387812325,0.307825364,-0.418222583
81,NP,2.may,np2,TN2,-0.548482179,-0.220467732,4.145282526,-0.647668914,3.585534575,-0.069276068,0.614189804,0.629155014,1.014884132,-0.426250087,0.732534392,0.025622251,3.035431091
82,NP,2.may,np2,TN6,-0.548482179,-0.203042535,-0.258655536,1.519828646,0.050877638,0.082423351,0.484009685,-0.687681062,-0.141843342,0.120825837,-0.876168586,-0.605975193,0.069799411
83,NP,2.may,np2,TR12B,-0.055143149,0.093185815,-0.404240265,-0.647668914,-0.270454811,-0.524374323,-0.354350286,-0.424313847,-0.72020708,-0.50440379,0.732534392,2.097799398,1.650745347
84,NP,2.may,np2,TR12D,-0.055143149,-0.081066156,-0.484311866,-0.659578241,0.050877638,-0.585054091,-0.458494381,-0.59989199,-0.202723736,-0.514760744,0.962349103,-0.334522675,1.717158394
85,NP,2.may,np2,TR12I,-0.055143149,-0.011365367,-0.426077974,0.888634302,-0.59178726,-0.403014789,-0.416836743,1.94599109,-0.461465408,0.152595635,-1.508159042,-0.259268511,-0.715767051
86,NP,2.may,np2,TR17L,-0.55384456,0.42426456,-0.244097063,0.72190372,-0.109788587,-0.403014789,-0.401215129,-0.512102918,0.710482165,0.394046101,-0.588900197,-0.630164032,-0.149766678
87,NP,2.may,np2,TR19I,-0.55384456,0.633366925,-0.382402556,2.198660299,0.532876311,-0.585054091,0.129919759,-0.424313847,1.486707181,-0.514887823,0.215451292,-0.388275649,-1.255307346
88,NP,2.may,np2,TSR1,0.641966351,-0.272743324,3.366404224,-0.647668914,0.693542535,-0.0085963,0.895378863,-0.248735703,-0.202723736,-0.280109015,0.445266003,-0.614038139,-0.265244773
89,NP,2.may,np2,YL2,0.641966351,0.00605983,-0.382402556,-0.635759586,-0.270454811,0.203782886,0.95786532,0.629155014,-0.354924719,-0.114270669,0.157997614,1.202812381,-1.125635433
90,NP,2.may,np2,YL4,0.641966351,0.00605983,0.11986476,-0.528575641,-0.59178726,0.112763234,0.562117757,-0.248735703,-0.080962949,-0.370335242,-2.772139953,-0.294207944,-0.301868326
91,NP,3.Aug,np3,DB2,-0.494858372,0.772768501,0.127143997,-0.659578241,-0.109788587,-0.615393975,-0.698025801,-1.038837349,-0.689766883,-0.518763739,0.502719681,-0.635539329,-0.143984011
92,NP,3.Aug,np3,IN2,1.912850592,0.790193699,4.480127404,-0.647668914,-0.59178726,-0.645733858,-0.583467296,-0.248735703,-0.62888649,-0.47454018,0.043090258,-0.59253695,0.356829941
93,NP,3.Aug,np3,KN5,-0.441234564,1.208398429,-0.295051718,0.37653323,-0.59178726,1.083639513,1.098459849,1.068100373,2.202051803,3.335929408,0.100543936,0.100876415,-0.016590119
94,NP,3.Aug,np3,PR7,-0.441234564,0.737918107,1.488361216,-0.647668914,0.211543862,-0.615393975,-0.505359224,-1.126626421,0.11689833,2.738657203,0.330358647,-0.608662842,-0.831069914
95,NP,3.Aug,np3,TC2,-0.178477906,0.737918107,-0.447915684,-0.647668914,-0.431121036,-0.615393975,-0.661575368,-0.687681062,-0.689766883,-0.515840917,0.330358647,0.135815848,-0.20671718
96,NP,3.Aug,np3,TN2,-0.178477906,0.877319684,0.709482914,-0.647668914,2.942869678,-0.220975486,-0.234584576,-0.07315756,-0.278824227,-0.489789683,0.043090258,0.259447688,-0.766759655
97,NP,3.Aug,np3,TN6,-0.178477906,0.598516531,-0.273214009,0.709994393,-0.431121036,-0.676073742,-0.401215129,0.014631512,-0.659326686,0.279674828,-0.761261231,-0.619413437,-0.275057782
98,NP,3.Aug,np3,TR12B,1.912850592,0.894744881,-0.440636447,-0.659578241,-0.431121036,-0.676073742,-0.60950332,-0.951048277,-0.704986981,-0.481529535,0.675080714,1.939228125,0.073128825
99,NP,3.Aug,np3,TR12D,1.912850592,0.546240939,-0.469753393,-0.659578241,-0.431121036,-0.615393975,0.312171927,-1.038837349,0.893123345,-0.521241783,0.732534392,-0.243142619,-0.209170432
100,NP,3.Aug,np3,TR12I,1.912850592,0.807618896,-0.462474157,1.269732773,-0.431121036,-0.615393975,-0.229377371,-0.775470134,-0.065742851,0.222489191,-0.876168586,-0.151762563,-0.724528667
101,NP,3.Aug,np3,TR17L,-0.580656464,1.068996852,-0.440636447,2.162932317,0.050877638,-0.49403444,-0.323107057,0.365787799,-0.294044326,0.286028788,-0.876168586,-0.619413437,-1.061325174
102,NP,3.Aug,np3,TR19I,-0.580656464,1.086422049,-0.367844083,3.10376917,0.372210087,-0.463694556,-0.385593514,0.365787799,0.20821892,0.40675402,-0.473992842,-0.57103576,0.192987728
103,NP,3.Aug,np3,TSR1,-0.494858372,0.947020472,-0.018440732,-0.635759586,-0.109788587,-0.129955835,1.759774857,-0.424313847,-0.704986981,-0.398292664,0.157997614,-0.619413437,-0.762378847
104,NP,3.Aug,np3,YL2,3.575188629,0.825044093,-0.433357211,-0.611940932,-0.752453484,0.476841839,1.218225559,0.014631512,-0.826747768,-0.271848868,-1.737973753,0.931359862,-0.391937736
105,NP,3.Aug,np3,YL4,3.575188629,0.877319684,0.956976954,-0.600031605,-0.752453484,-0.129955835,-0.036710794,-0.512102918,0.512620887,-0.492331267,-2.025242142,1.640899119,0.0030359
106,NP,4.nov,np4,DB2,-0.580656464,0.563666136,-0.396961029,-0.659578241,-0.109788587,-0.676073742,-1.078151751,-1.038837349,-0.507125703,-0.514315967,1.536885881,-0.17863905,0.077509633
107,NP,4.nov,np4,IN2,-0.580656464,0.459114954,-0.164025462,-0.647668914,-0.59178726,2.752333117,3.259449835,-0.775470134,-0.552785998,-0.22737115,0.445266003,-0.576411058,-1.019619884
108,NP,4.nov,np4,KN5,-0.580656464,0.528815742,-0.338727137,0.269349285,-0.752453484,-0.585054091,-0.963593245,-0.951048277,0.223439018,-0.299170894,0.157997614,0.036372846,-0.302394023
109,NP,4.nov,np4,PR7,-0.580656464,0.110611012,-0.411519502,-0.326117078,-0.431121036,-0.645733858,-1.21874628,-1.126626421,-0.81152767,-0.511329606,1.077256458,-0.710793493,1.247535793
110,NP,4.nov,np4,TC2,-0.580656464,-0.098491353,-0.462474157,-0.659578241,-0.59178726,-0.585054091,-0.718854621,-0.951048277,-0.796307571,-0.480894139,0.732534392,0.076687576,-0.312907962
111,NP,4.nov,np4,TN2,-0.580656464,0.058335421,0.127143997,-0.647668914,4.710198146,-0.25131537,-0.276242214,0.541365942,-0.461465408,-0.485341911,0.100543936,1.915039286,0.498943348
112,NP,4.nov,np4,TN6,-0.580656464,-0.046215761,-0.404240265,1.603193936,-0.752453484,-0.585054091,-0.12002607,-0.248735703,-0.796307571,0.489355496,-0.876168586,-0.565660463,-0.865240215
113,NP,4.nov,np4,TR12B,-0.580656464,0.232587392,-0.134908516,-0.659578241,-0.59178726,-0.645733858,-1.08856616,-1.126626421,-0.872408063,-0.509931735,0.904895425,5.282663106,0.053327574
114,NP,4.nov,np4,TR12D,-0.580656464,-0.098491353,-0.45519492,-0.659578241,-0.913119709,-0.645733858,-1.177088642,-1.038837349,-0.339704621,-0.517111709,0.962349103,-0.450091569,1.562077796
115,NP,4.nov,np4,TR12I,0.545443497,-0.081066156,0.229053307,-0.409482369,-0.431121036,-0.49403444,-0.755305054,0.980311301,-0.157063441,-0.357627323,0.387812325,-0.471592758,-0.444682662
116,NP,4.nov,np4,TR17L,0.545443497,0.737918107,-0.324168664,1.103002192,0.372210087,-0.615393975,-0.411629538,-0.863259205,0.497400788,0.029964215,0.387812325,-0.630164032,0.608463544
117,NP,4.nov,np4,TR19I,0.545443497,0.772768501,-0.440636447,1.960473754,0.693542535,-0.585054091,-0.432458357,-0.248735703,-0.583226194,0.273320868,0.445266003,-0.624788734,-1.083930143
118,NP,4.nov,np4,TSR1,-0.580656464,0.598516531,-0.185863171,-0.611940932,0.050877638,-0.25131537,0.327793541,-0.59989199,-0.080962949,-0.36271049,0.904895425,0.117002307,0.662610329
119,NP,4.nov,np4,YL2,-0.580656464,0.354563771,-0.375123319,-0.623850259,-0.270454811,1.508397885,3.467738027,1.858202019,-0.918068358,-0.243256049,0.330358647,0.888357483,-0.869095326
120,NP,4.nov,np4,YL4,-0.580656464,0.30228818,0.338241854,-0.492847659,-0.752453484,0.143103118,1.129703078,-0.424313847,-0.933288457,0.190719393,-2.255056853,-0.442028623,0.191761102