MAG,indicator,season,exchange,phylum,type
M.W.TN6.1.semibin.fa,Y,1.feb,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,2.may,5,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,Y,2.may,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,2.may,5,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,2.may,5,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,2.may,NA,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,3.nov,5,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,3.nov,NA,p__Actinobacteriota,onlyNP
A.TR12I.MP.6.semibin.fa,N,1.feb,5,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,1.feb,5,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,2.may,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,Y,2.may,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,Y,3.nov,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,3.nov,5,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,4.aug,5,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
A.IN2.W.1.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.IN2.W.12.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.TN2.MP.8.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.TR12D.MP.3.fa,N,1.feb,5,p__Bacteroidota,onlyNP
A.TR12I.W.2.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.TR12I.W.22.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.TSR1.W.10.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.TSR1.W.5.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
F.TR12D.nonMP.10.fa,N,1.feb,5,p__Bacteroidota,onlyNP
F.W.TN6.semibin.1.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
M.W.TN6.8.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
M.W.TR12I.7.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.IN2.nonMP.12.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.IN2.W.1.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.IN2.W.10.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.KN5.nonMP.17.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.PR7.nonMP.0.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.TN2.W.18.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.TR12D.W.2.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.TR12I.W.33.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.TR19I.nonMP.34.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
S.TSR1.W.2.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyNP
A.IN2.W.1.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
A.IN2.W.12.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
A.TN2.MP.8.fa,N,4.aug,5,p__Bacteroidota,onlyNP
A.TR12D.MP.3.fa,Y,4.aug,NA,p__Bacteroidota,onlyNP
A.TR12I.W.2.semibin.fa,N,4.aug,NA,p__Bacteroidota,onlyNP
A.TR12I.W.22.fa,N,4.aug,NA,p__Bacteroidota,onlyNP
A.TSR1.W.10.fa,N,4.aug,NA,p__Bacteroidota,onlyNP
A.TSR1.W.5.fa,N,4.aug,5,p__Bacteroidota,onlyNP
F.TR12D.nonMP.10.fa,N,4.aug,NA,p__Bacteroidota,onlyNP
F.W.TN6.semibin.1.fa,N,4.aug,NA,p__Bacteroidota,onlyNP
M.W.TN6.8.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
M.W.TR12I.7.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.IN2.nonMP.12.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.IN2.W.1.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.IN2.W.10.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.KN5.nonMP.17.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.PR7.nonMP.0.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.TN2.W.18.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.TR12D.W.2.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.TR12I.W.33.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.TR19I.nonMP.34.fa,N,4.aug,5,p__Bacteroidota,onlyNP
S.TSR1.W.2.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyNP
A.IN2.W.1.semibin.fa,N,2.may,5,p__Bacteroidota,onlyNP
A.IN2.W.12.semibin.fa,N,2.may,5,p__Bacteroidota,onlyNP
A.TN2.MP.8.fa,N,2.may,5,p__Bacteroidota,onlyNP
A.TR12D.MP.3.fa,N,2.may,NA,p__Bacteroidota,onlyNP
A.TR12I.W.2.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
A.TR12I.W.22.fa,N,2.may,5,p__Bacteroidota,onlyNP
A.TSR1.W.10.fa,N,2.may,5,p__Bacteroidota,onlyNP
A.TSR1.W.5.fa,N,2.may,NA,p__Bacteroidota,onlyNP
F.TR12D.nonMP.10.fa,N,2.may,NA,p__Bacteroidota,onlyNP
F.W.TN6.semibin.1.fa,N,2.may,5,p__Bacteroidota,onlyNP
M.W.TN6.8.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
M.W.TR12I.7.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.IN2.nonMP.12.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.IN2.W.1.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.IN2.W.10.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.KN5.nonMP.17.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.PR7.nonMP.0.semibin.fa,N,2.may,5,p__Bacteroidota,onlyNP
S.TN2.W.18.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.TR12D.W.2.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.TR12I.W.33.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.TR19I.nonMP.34.fa,N,2.may,NA,p__Bacteroidota,onlyNP
S.TSR1.W.2.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyNP
A.IN2.W.1.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.IN2.W.12.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TN2.MP.8.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TR12D.MP.3.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TR12I.W.2.semibin.fa,N,3.nov,5,p__Bacteroidota,onlyNP
A.TR12I.W.22.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TSR1.W.10.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TSR1.W.5.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
F.TR12D.nonMP.10.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
F.W.TN6.semibin.1.fa,N,3.nov,5,p__Bacteroidota,onlyNP
M.W.TN6.8.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
M.W.TR12I.7.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.IN2.nonMP.12.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.IN2.W.1.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.IN2.W.10.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.KN5.nonMP.17.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.PR7.nonMP.0.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.TN2.W.18.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.TR12D.W.2.semibin.fa,N,3.nov,5,p__Bacteroidota,onlyNP
S.TR12I.W.33.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.TR19I.nonMP.34.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
S.TSR1.W.2.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyNP
A.TN6.W.26.fa,N,1.feb,NA,p__Campylobacterota,onlyNP
A.YL4.W.32.fa,N,1.feb,NA,p__Campylobacterota,onlyNP
A.TN6.W.26.fa,N,4.aug,NA,p__Campylobacterota,onlyNP
A.YL4.W.32.fa,N,4.aug,5,p__Campylobacterota,onlyNP
A.TN6.W.26.fa,N,2.may,5,p__Campylobacterota,onlyNP
A.YL4.W.32.fa,N,2.may,5,p__Campylobacterota,onlyNP
A.TN6.W.26.fa,N,3.nov,NA,p__Campylobacterota,onlyNP
A.YL4.W.32.fa,N,3.nov,5,p__Campylobacterota,onlyNP
A.TR12B.MP.7.fa,N,1.feb,NA,p__Cyanobacteria,onlyMP
M.TR19I.nonMP.2.semibin.fa,N,1.feb,5,p__Cyanobacteria,onlyMP
S.TR12I.nonMP.27.fa,N,1.feb,NA,p__Cyanobacteria,onlyMP
S.TR19I.nonMP.0.semibin.fa,N,1.feb,NA,p__Cyanobacteria,onlyMP
A.TR12B.MP.7.fa,N,2.may,NA,p__Cyanobacteria,onlyMP
M.TR19I.nonMP.2.semibin.fa,N,2.may,NA,p__Cyanobacteria,onlyMP
S.TR12I.nonMP.27.fa,N,2.may,NA,p__Cyanobacteria,onlyMP
S.TR19I.nonMP.0.semibin.fa,N,2.may,NA,p__Cyanobacteria,onlyMP
A.TR12B.MP.7.fa,Y,3.nov,NA,p__Cyanobacteria,onlyMP
M.TR19I.nonMP.2.semibin.fa,N,3.nov,NA,p__Cyanobacteria,onlyMP
S.TR12I.nonMP.27.fa,N,3.nov,NA,p__Cyanobacteria,onlyMP
S.TR19I.nonMP.0.semibin.fa,N,3.nov,NA,p__Cyanobacteria,onlyMP
A.TR12B.MP.7.fa,N,4.aug,5,p__Cyanobacteria,onlyMP
M.TR19I.nonMP.2.semibin.fa,N,4.aug,NA,p__Cyanobacteria,onlyMP
S.TR12I.nonMP.27.fa,N,4.aug,5,p__Cyanobacteria,onlyMP
S.TR19I.nonMP.0.semibin.fa,N,4.aug,5,p__Cyanobacteria,onlyMP
F.KN5.nonMP.7.fa,N,1.feb,NA,p__Cyanobacteria,onlyNP
F.KN5.nonMP.7.fa,N,4.aug,NA,p__Cyanobacteria,onlyNP
F.KN5.nonMP.7.fa,N,2.may,NA,p__Cyanobacteria,onlyNP
F.KN5.nonMP.7.fa,N,3.nov,5,p__Cyanobacteria,onlyNP
M.TR17L.MP.1.semibin.fa,Y,1.feb,5,p__Deinococcota,onlyMP
M.TR17L.MP.1.semibin.fa,N,2.may,NA,p__Deinococcota,onlyMP
M.TR17L.MP.1.semibin.fa,N,3.nov,NA,p__Deinococcota,onlyMP
M.TR17L.MP.1.semibin.fa,N,4.aug,NA,p__Deinococcota,onlyMP
A.IN2.MP.10.fa,N,1.feb,NA,p__Firmicutes,onlyMP
A.IN2.MP.20.fa,N,1.feb,NA,p__Firmicutes,onlyMP
A.IN2.MP.8.fa,N,1.feb,NA,p__Firmicutes,onlyMP
M.W.TSR1.19.fa,N,1.feb,NA,p__Firmicutes,onlyMP
S.IN2.MP.34.fa,N,1.feb,NA,p__Firmicutes,onlyMP
A.IN2.MP.10.fa,N,2.may,NA,p__Firmicutes,onlyMP
A.IN2.MP.20.fa,N,2.may,NA,p__Firmicutes,onlyMP
A.IN2.MP.8.fa,N,2.may,NA,p__Firmicutes,onlyMP
M.W.TSR1.19.fa,N,2.may,5,p__Firmicutes,onlyMP
S.IN2.MP.34.fa,Y,2.may,NA,p__Firmicutes,onlyMP
A.IN2.MP.10.fa,N,3.nov,NA,p__Firmicutes,onlyMP
A.IN2.MP.20.fa,N,3.nov,NA,p__Firmicutes,onlyMP
A.IN2.MP.8.fa,Y,3.nov,NA,p__Firmicutes,onlyMP
M.W.TSR1.19.fa,N,3.nov,NA,p__Firmicutes,onlyMP
S.IN2.MP.34.fa,Y,3.nov,NA,p__Firmicutes,onlyMP
A.IN2.MP.10.fa,Y,4.aug,5,p__Firmicutes,onlyMP
A.IN2.MP.20.fa,Y,4.aug,5,p__Firmicutes,onlyMP
A.IN2.MP.8.fa,Y,4.aug,5,p__Firmicutes,onlyMP
M.W.TSR1.19.fa,N,4.aug,NA,p__Firmicutes,onlyMP
S.IN2.MP.34.fa,Y,4.aug,5,p__Firmicutes,onlyMP
A.YL2.W.27.fa,N,1.feb,NA,p__Firmicutes,onlyNP
A.YL4.W.4.semibin.fa,N,1.feb,NA,p__Firmicutes,onlyNP
F.W.TN2.2.fa,N,1.feb,NA,p__Firmicutes,onlyNP
M.W.YL2.4.semibin.fa,N,1.feb,5,p__Firmicutes,onlyNP
S.KN5.MP.44.fa,N,1.feb,NA,p__Firmicutes,onlyNP
S.TN2.W.26.fa,N,1.feb,NA,p__Firmicutes,onlyNP
A.YL2.W.27.fa,N,4.aug,5,p__Firmicutes,onlyNP
A.YL4.W.4.semibin.fa,N,4.aug,5,p__Firmicutes,onlyNP
F.W.TN2.2.fa,N,4.aug,5,p__Firmicutes,onlyNP
M.W.YL2.4.semibin.fa,N,4.aug,NA,p__Firmicutes,onlyNP
S.KN5.MP.44.fa,N,4.aug,5,p__Firmicutes,onlyNP
S.TN2.W.26.fa,N,4.aug,5,p__Firmicutes,onlyNP
A.YL2.W.27.fa,N,2.may,5,p__Firmicutes,onlyNP
A.YL4.W.4.semibin.fa,N,2.may,5,p__Firmicutes,onlyNP
F.W.TN2.2.fa,N,2.may,5,p__Firmicutes,onlyNP
M.W.YL2.4.semibin.fa,N,2.may,5,p__Firmicutes,onlyNP
S.KN5.MP.44.fa,N,2.may,NA,p__Firmicutes,onlyNP
S.TN2.W.26.fa,N,2.may,NA,p__Firmicutes,onlyNP
A.YL2.W.27.fa,N,3.nov,NA,p__Firmicutes,onlyNP
A.YL4.W.4.semibin.fa,N,3.nov,NA,p__Firmicutes,onlyNP
F.W.TN2.2.fa,N,3.nov,NA,p__Firmicutes,onlyNP
M.W.YL2.4.semibin.fa,N,3.nov,NA,p__Firmicutes,onlyNP
S.KN5.MP.44.fa,N,3.nov,NA,p__Firmicutes,onlyNP
S.TN2.W.26.fa,N,3.nov,NA,p__Firmicutes,onlyNP
M.TC2.MP.7.fa,N,1.feb,5,p__Myxococcota,onlyNP
M.TC2.MP.7.fa,N,4.aug,NA,p__Myxococcota,onlyNP
M.TC2.MP.7.fa,N,2.may,NA,p__Myxococcota,onlyNP
M.TC2.MP.7.fa,N,3.nov,NA,p__Myxococcota,onlyNP
A.KN5.MP.10.semibin.fa,N,1.feb,NA,p__Nitrospirota,onlyMP
A.KN5.MP.10.semibin.fa,N,2.may,5,p__Nitrospirota,onlyMP
A.KN5.MP.10.semibin.fa,N,3.nov,NA,p__Nitrospirota,onlyMP
A.KN5.MP.10.semibin.fa,N,4.aug,NA,p__Nitrospirota,onlyMP
A.TR17L.W.14.fa,N,1.feb,NA,p__Planctomycetota,onlyMP
A.TR19I.W.9.fa,N,1.feb,NA,p__Planctomycetota,onlyMP
S.TR19I.nonMP.4.semibin.fa,N,1.feb,NA,p__Planctomycetota,onlyMP
A.TR17L.W.14.fa,N,2.may,NA,p__Planctomycetota,onlyMP
A.TR19I.W.9.fa,N,2.may,NA,p__Planctomycetota,onlyMP
S.TR19I.nonMP.4.semibin.fa,N,2.may,NA,p__Planctomycetota,onlyMP
A.TR17L.W.14.fa,N,3.nov,NA,p__Planctomycetota,onlyMP
A.TR19I.W.9.fa,N,3.nov,NA,p__Planctomycetota,onlyMP
S.TR19I.nonMP.4.semibin.fa,N,3.nov,NA,p__Planctomycetota,onlyMP
A.TR17L.W.14.fa,N,4.aug,5,p__Planctomycetota,onlyMP
A.TR19I.W.9.fa,N,4.aug,5,p__Planctomycetota,onlyMP
S.TR19I.nonMP.4.semibin.fa,N,4.aug,5,p__Planctomycetota,onlyMP
A.TR19I.nonMP.37.fa,N,1.feb,NA,p__Verrucomicrobiota,onlyMP
A.TR19I.nonMP.37.fa,N,2.may,NA,p__Verrucomicrobiota,onlyMP
A.TR19I.nonMP.37.fa,N,3.nov,NA,p__Verrucomicrobiota,onlyMP
A.TR19I.nonMP.37.fa,N,4.aug,5,p__Verrucomicrobiota,onlyMP
S.PR7.nonMP.25.fa,N,1.feb,NA,p__Verrucomicrobiota,onlyNP
S.PR7.nonMP.25.fa,N,4.aug,5,p__Verrucomicrobiota,onlyNP
S.PR7.nonMP.25.fa,N,2.may,NA,p__Verrucomicrobiota,onlyNP
S.PR7.nonMP.25.fa,N,3.nov,NA,p__Verrucomicrobiota,onlyNP